W,E1,E2
500,-179.238,84.0137
500.1,-179.1505374,83.96554929
500.2,-179.0631015,83.9174161
500.3,-178.9756924,83.86930051
500.4,-178.8883102,83.82120266
500.5,-178.800955,83.77312264
500.6,-178.7136269,83.72506057
500.7,-178.6263259,83.67701657
500.8,-178.5390523,83.62899073
500.9,-178.4518061,83.58098317
501,-178.3645873,83.53299401
501.1,-178.2773961,83.48502334
501.2,-178.1902326,83.43707129
501.3,-178.1030968,83.38913796
501.4,-178.015989,83.34122347
501.5,-177.928909,83.29332792
501.6,-177.8418572,83.24545143
501.7,-177.7548335,83.19759411
501.8,-177.667838,83.14975606
501.9,-177.580871,83.1019374
502,-177.4939323,83.05413823
502.1,-177.4070222,83.00635868
502.2,-177.3201408,82.95859885
502.3,-177.233288,82.91085884
502.4,-177.1464642,82.86313878
502.5,-177.0596692,82.81543877
502.6,-176.9729033,82.76775892
502.7,-176.8861665,82.72009935
502.8,-176.7994589,82.67246016
502.9,-176.7127807,82.62484146
503,-176.6261318,82.57724337
503.1,-176.5395125,82.52966599
503.2,-176.4529228,82.48210944
503.3,-176.3663628,82.43457383
503.4,-176.2798326,82.38705926
503.5,-176.1933323,82.33956586
503.6,-176.106862,82.29209372
503.7,-176.0204218,82.24464297
503.8,-175.9340118,82.1972137
503.9,-175.847632,82.14980603
504,-175.7612827,82.10242008
504.1,-175.6749638,82.05505595
504.2,-175.5886755,82.00771375
504.3,-175.5024179,81.9603936
504.4,-175.416191,81.9130956
504.5,-175.3299951,81.86581987
504.6,-175.24383,81.81856651
504.7,-175.1576961,81.77133564
504.8,-175.0715933,81.72412737
504.9,-174.9855218,81.6769418
505,-174.8994816,81.62977906
505.1,-174.8134728,81.58263924
505.2,-174.7274956,81.53552247
505.3,-174.6415501,81.48842884
505.4,-174.5556363,81.44135848
505.5,-174.4697543,81.39431148
505.6,-174.3839042,81.34728797
505.7,-174.2980862,81.30028806
505.8,-174.2123003,81.25331185
505.9,-174.1265467,81.20635945
506,-174.0408253,81.15943098
506.1,-173.9551364,81.11252654
506.2,-173.86948,81.06564625
506.3,-173.7838562,81.01879022
506.4,-173.6982651,80.97195856
506.5,-173.6127068,80.92515138
506.6,-173.5271814,80.87836878
506.7,-173.441689,80.83161089
506.8,-173.3562297,80.78487781
506.9,-173.2708035,80.73816965
507,-173.1854107,80.69148652
507.1,-173.1000513,80.64482853
507.2,-173.0147253,80.5981958
507.3,-172.9294329,80.55158843
507.4,-172.8441742,80.50500654
507.5,-172.7589493,80.45845023
507.6,-172.6737582,80.41191962
507.7,-172.5886011,80.36541482
507.8,-172.503478,80.31893593
507.9,-172.4183892,80.27248308
508,-172.3333345,80.22605636
508.1,-172.2483142,80.17965589
508.2,-172.1633284,80.13328178
508.3,-172.0783771,80.08693414
508.4,-171.9934605,80.04061309
508.5,-171.9085786,79.99431873
508.6,-171.8237315,79.94805117
508.7,-171.7389194,79.90181052
508.8,-171.6541423,79.8555969
508.9,-171.5694003,79.80941042
509,-171.4846935,79.76325118
509.1,-171.4000221,79.71711929
509.2,-171.3153861,79.67101488
509.3,-171.2307856,79.62493804
509.4,-171.1462207,79.57888889
509.5,-171.0616915,79.53286754
509.6,-170.9771981,79.4868741
509.7,-170.8927406,79.44090868
509.8,-170.8083191,79.3949714
509.9,-170.7239337,79.34906235
510,-170.6395845,79.30318166
510.1,-170.5552716,79.25732943
510.2,-170.4709951,79.21150577
510.3,-170.386755,79.1657108
510.4,-170.3025515,79.11994463
510.5,-170.2183847,79.07420736
510.6,-170.1342547,79.0284991
510.7,-170.0501615,78.98281998
510.8,-169.9661054,78.93717009
510.9,-169.8820862,78.89154955
511,-169.7981042,78.84595848
511.1,-169.7141595,78.80039697
511.2,-169.6302522,78.75486514
511.3,-169.5463822,78.7093631
511.4,-169.4625499,78.66389097
511.5,-169.3787551,78.61844885
511.6,-169.2949982,78.57303685
511.7,-169.211279,78.52765509
511.8,-169.1275978,78.48230367
511.9,-169.0439546,78.43698271
512,-168.9603495,78.39169231
512.1,-168.8767827,78.34643259
512.2,-168.7932542,78.30120366
512.3,-168.7097641,78.25600563
512.4,-168.6263125,78.2108386
512.5,-168.5428995,78.1657027
512.6,-168.4595252,78.12059803
512.7,-168.3761897,78.07552469
512.8,-168.2928932,78.03048281
512.9,-168.2096356,77.98547249
513,-168.1264171,77.94049385
513.1,-168.0432378,77.89554699
513.2,-167.9600978,77.85063202
513.3,-167.8769972,77.80574906
513.4,-167.7939361,77.76089821
513.5,-167.7109145,77.71607959
513.6,-167.6279327,77.67129331
513.7,-167.5449906,77.62653947
513.8,-167.4620883,77.58181819
513.9,-167.379226,77.53712959
514,-167.2964038,77.49247376
