Freq_cm_merged_15K,ep1,ep2
1.001,81.16578561,127.1654846
2.002,18.02370327,58.13975771
3.003,12.03851794,37.51837515
4.004,9.525620364,27.4970884
5.00501,8.241423451,21.6301631
6.00601,7.490407284,17.79354697
7.00701,7.008634596,15.09470778
8.00801,6.678269234,13.09560657
9.00901,6.440105396,11.55671311
10.01,6.261677785,10.3362895
11.011,6.123788661,9.345279548
12.012,6.014551434,8.524750856
13.013,5.926220723,7.834466529
14.014,5.853531685,7.245761482
15.015,5.792781269,6.737925529
16.016,5.741243746,6.295393483
17.017,5.696867126,5.906496789
18.018,5.657890147,5.562236463
19.019,5.622645818,5.255709003
20.02,5.589056343,4.981833248
21.021,5.553177685,4.737722862
22.022,5.478761101,4.536936401
23.07710766,5.406892958,4.17564087
24.10606351,5.450981999,3.944275745
24.53058492,5.459470739,3.825271199
25.40230582,5.521380654,3.680000929
25.84977513,5.529596408,3.593766581
26.7687072,5.563765781,3.466674792
27.47929186,5.573106308,3.313087521
28.20860791,5.658202835,3.19928569
28.95714563,5.741398188,3.148121778
29.46714305,5.769872911,3.144942042
30.24921781,5.754410898,3.113614146
31.05214565,5.711485952,3.039614274
31.32473984,5.69388373,2.964783579
31.8769798,5.763480274,2.848338627
32.43890515,5.875125756,2.727992211
32.72357157,5.996968355,2.717327261
33.01073608,6.085295156,2.79881217
33.88685981,6.100126897,2.93763968
34.98733396,6.055189195,3.133590517
35.41604811,5.945614643,3.190768121
35.76278317,5.846791638,3.153410753
36.28922182,5.789479235,3.11013146
36.73376127,5.722491098,3.089321043
37.09331687,5.653909803,3.014059747
37.7315758,5.632013622,2.888916116
38.28750967,5.654518963,2.748707643
38.47490188,5.699322275,2.714275081
38.8521394,5.782871177,2.684003267
39.23319459,5.862897871,2.72726142
40.29905934,5.910134297,2.81521748
40.89230873,5.925094693,2.98504272
41.2925867,5.807647435,3.054267202
41.7985798,5.682768015,3.043878661
42.41388551,5.587943613,3.024990465
42.82905757,5.51245113,3.007547621
43.24825612,5.429634036,2.955091344
43.56533129,5.392657708,2.886373882
44.42281498,5.378341745,2.784362572
45.18744585,5.358569702,2.71131165
45.85331332,5.370166847,2.624532721
46.5289525,5.44487684,2.642343965
47.44505594,5.436672011,2.733346182
47.90951755,5.376109394,2.859399649
48.4964465,5.142167361,2.869598777
48.97058563,5.082706293,2.813631039
48.73300275,4.991286462,2.753105896
49.32942185,4.920093293,2.682349971
49.69077988,4.844521688,2.589609375
50.05474166,4.795810011,2.462667274
50.42147846,4.791745588,2.3190566
50.79121018,4.840410467,2.196173038
51.91769642,5.03784836,1.995585358
52.29901118,5.134092666,1.970896148
52.55488944,5.190699495,2.000606799
53.19951114,5.221854688,2.051359652
53.72084088,5.227314938,2.100712473
54.51183987,5.157752877,2.100606914
55.04555302,5.122235138,2.063909684
55.72002462,5.10250034,1.978570828
56.67864313,5.159596257,1.86868068
57.51386605,5.258080374,1.827183294
58.21938864,5.337191523,1.830572284
58.79006353,5.397847229,1.847802643
59.36646081,5.464091943,1.897925232
60.09481328,5.514418536,1.981679062
60.68400275,5.548558281,2.080992149
61.27886269,5.548983018,2.194625284
61.72890474,5.53852797,2.310838237
62.33387243,5.456847484,2.478240034
62.94460549,5.296215928,2.674356476
63.25182881,5.140007847,2.751200397
63.40575519,5.053011201,2.743643793
63.71514653,4.934285513,2.763366091
64.33782478,4.60841656,2.748430282
65.12333394,4.196063783,2.499527356
65.5986274,4.026219237,2.208818078
66.07813375,4.00798716,1.910035293
67.0500973,4.144888264,1.484307594
68.53831346,4.515372515,1.178806905
69.37985416,4.707244979,1.153308768
70.74693885,4.851114815,1.191576196
71.78928722,4.880867957,1.203775153
73.20267523,4.906049361,1.145967086
74.64437492,4.999731374,1.076872165
75.74463812,5.104787678,1.066719986
76.48713118,5.163351202,1.088125747
77.61425422,5.22789881,1.08284947
78.18460467,5.327705019,1.10589798
78.75924868,5.419853823,1.189514595
79.33821931,5.472483973,1.399005258
80.7014924,5.11465771,1.609395159
81.09492789,5.006080471,1.590212834
81.49035204,4.934188183,1.526833997
82.68948418,4.847666269,1.399399638
83.49868052,4.790413196,1.309997298
84.52149465,4.759109341,1.153173057
86.18600235,4.880339515,0.979482581
87.24347272,4.987936196,0.941428991
88.09879851,5.062323036,0.951497915
88.96250982,5.126891247,0.992720211
89.83461105,5.169184925,1.072361857
90.71502579,5.156508604,1.217581612
91.60252177,4.985646869,1.305550942
92.04926136,4.875689602,1.336450621
92.27286808,4.782011766,1.300073381
92.72259581,4.707291735,1.200250113
93.40166465,4.625497148,1.066537966
93.8570566,4.584722528,0.915700249
95.24063978,4.779508096,0.614984584
95.70694594,4.881460585,0.578472554
96.8816963,5.023498442,0.550419908
97.83214974,5.15880159,0.567477658
99.2744603,5.269829925,0.631561458
100.4925212,5.34819487,0.709401399
102.9723686,5.37871807,0.849456991
106.028636,5.363794055,1.015691609
107.8523537,5.273271555,1.105908758
109.3068141,5.163949398,1.161181404
109.9738703,5.074101159,1.161697829
110.4206751,5.013371654,1.129186943
111.094649,4.959808217,1.070621567
111.5461281,4.922950522,1.005660453
112.455775,4.944397781,0.891560427
113.8352207,5.032536253,0.811716734
114.9978833,5.105300223,0.806487001
115.9364738,5.147807709,0.833952124
117.597075,5.176124713,0.920695379
119.2805576,5.120207527,1.022069166
120.2528005,5.043299883,1.071656382
120.9867431,4.959494988,1.080685947
121.9721446,4.854525715,1.044349093
123.215424,4.758780688,0.959566311
124.4717805,4.700451189,0.857081465
125.7413558,4.672334892,0.74886785
127.5411992,4.674526536,0.596964373
129.8946034,4.758895425,0.438774439
131.2212894,4.833206096,0.390701127
133.1010609,4.903826281,0.367353694
135.2819343,4.952255598,0.360188383
138.3379901,4.948417143,0.306442644
141.1765349,4.978345357,0.199411817
142.9080793,5.030382393,0.120723025
144.0745714,5.086690827,0.074467995
145.546243,5.166784109,0.034085484
146.734534,5.240075775,0.015594275
147.9325267,5.313880931,0.017043405
149.4433902,5.381199007,0.025203054
151.2768743,5.467081969,0.029406676
152.8219494,5.539396828,0.028297003
154.0696975,5.619702027,0.026212698
155.0124413,5.696895964,0.044185155
156.2780178,5.774390872,0.078827028
157.2342742,5.852399275,0.110600673
158.7504269,5.960520152,0.184203645
159.8699819,6.049982311,0.245104119
160.4329168,6.107420845,0.286088977
160.9978339,6.162773585,0.349885276
162.1340471,6.219483829,0.455482456
162.7050557,6.294302706,0.516856784
163.2783808,6.351028279,0.604064483
163.8535217,6.420862772,0.728761624
165.0091681,6.443474263,0.978858944
165.5903024,6.504594269,1.152481128
166.1738979,6.49838276,1.393645934
167.3425702,6.18622997,2.231483013
167.9234397,5.499611555,2.192743034
168.5074814,5.196564017,1.973760807
169.0940816,4.967631986,1.724275505
169.6837821,4.840471851,1.424937691
170.2778753,4.856743004,1.078821022
171.4839654,5.351550478,0.769045394
172.0917663,5.641056176,0.796913838
172.7026908,5.933805296,1.075563413
173.9227021,5.838695674,1.840245383
175.1424844,5.143762961,2.29624922
175.7515245,4.674461538,2.272720193
176.3608128,4.305184184,2.030250301
176.9738687,4.113557626,1.743533111
178.211049,3.959251613,1.215356554
179.4639289,4.035116597,0.809250596
182.0052549,4.359139766,0.357902637
182.6467022,4.446637568,0.274827378
183.2909816,4.558093798,0.208767714
183.938222,4.699272458,0.19777718
184.5867119,4.787892471,0.229458028
185.237026,4.854682708,0.255394382
185.8897471,4.927134391,0.287414803
186.544652,4.991353723,0.343463502
187.8604543,5.05837491,0.529096563
189.1815265,4.920063728,0.672089561
