J_kSalt_15K_v8_w,eps1,eps2
0,-1553621.811,5328386.138
0.01,-1553621.811,5328386.138
0.02,-212557.0016,3622039.323
0.03,-78296.868,2487350.626
0.04,-40763.76655,1885032.489
0.05,-25610.61014,1515491.503
0.06,-18101.53902,1266345.977
0.07,-13851.09627,1087206.483
0.08,-11210.39796,952278.7917
0.09,-9449.4708,847028.8944
0.1,-8211.854099,762653.3817
0.11,-7301.9632,693511.8228
0.12,-6608.2634,635825.1983
0.13,-6066.510901,586969.3671
0.14,-5630.847479,545060.9951
0.15,-5274.476613,508721.1477
0.16,-4976.026655,476908.6551
0.17,-4723.083115,448826.8532
0.18,-4506.968455,423858.9652
0.19,-4318.445651,401511.9809
0.2,-4152.983715,381396.3612
0.21,-4005.7912,363193.1908
0.22,-3875.1531,346642.1814
0.23,-3756.352061,331529.1622
0.24,-3649.925479,317674.5185
0.25,-3553.2952,304926.4143
0.26,-3463.383221,293158.6905
0.27,-3381.875861,282261.5467
0.28,-3305.951851,272142.9845
0.29,-3235.900032,262721.3426
0.3,-3169.884992,253927.9695
0.31,-3108.304944,245701.886
0.32,-3051.547121,237989.8512
0.33,-2997.265728,230744.4023
0.34,-2946.632899,223926.7109
0.35,-2898.753015,217498.0601
0.36,-2853.454968,211426.3136
0.37,-2809.942733,205682.8936
0.38,-2768.731875,200241.8895
0.39,-2730.314553,195079.8859
0.4,-2693.316681,190176.4287
0.41,-2657.042508,185512.6015
0.42,-2623.83928,181070.9116
0.43,-2591.190683,176835.8528
0.44,-2559.638228,172793.1443
0.45,-2529.704448,168930.2616
0.46,-2501.315933,165235.7662
0.47,-2473.8276,161698.109
0.48,-2446.636992,158308.4433
0.49,-2421.383808,155057.1249
0.5,-2396.340261,151935.9994
0.51,-2372.029416,148937.193
0.52,-2348.960848,146054.1952
0.53,-2326.54418,143279.6606
0.54,-2305.287999,140608.612
0.55,-2284.092027,138034.674
0.56,-2263.461165,135552.1933
0.57,-2243.898448,133157.7663
0.58,-2224.332448,130845.5493
0.59,-2205.773659,128611.8983
0.6,-2187.6846,126452.7903
0.61,-2170.039495,124363.8219
0.62,-2152.838656,122343.6919
0.63,-2136.047571,120387.2056
0.64,-2119.649112,118491.2721
0.65,-2104.12224,116654.3334
0.66,-2088.480023,114873.4467
0.67,-2073.18776,113145.2631
0.68,-2058.71352,111468.4158
0.69,-2044.092281,109840.1788
0.7,-2029.786908,108258.3523
0.71,-2016.246552,106720.7939
0.72,-2002.544145,105226.8062
0.73,-1990.034592,103773.4067
0.74,-1976.880751,102359.0786
0.75,-1964.00036,100983.2151
0.76,-1951.818192,99642.99386
0.77,-1939.886496,98338.33307
0.78,-1928.188128,97066.9425
0.79,-1916.714668,95827.46338
0.8,-1905.027023,94619.00786
0.81,-1894.42624,93440.69024
0.82,-1883.169099,92291.24486
0.83,-1872.539705,91168.97743
0.84,-1862.110407,90073.94738
0.85,-1851.872715,89004.94045
0.86,-1841.39428,87960.3541
0.87,-1831.938109,86940.27186
0.88,-1822.232925,85943.1411
0.89,-1812.286168,84968.66687
0.9,-1802.91612,84015.7306
0.91,-1793.704,83083.6578
0.92,-1784.650036,82172.18856
0.93,-1775.745648,81280.26086
0.94,-1766.98224,80406.83438
0.95,-1758.368832,79552.48538
0.96,-1750.289211,78715.78834
0.97,-1741.54876,77896.15358
0.98,-1733.342488,77093.76173
0.99,-1725.260544,76307.2434
1,-1717.696233,75536.80214
1.01,-1709.47036,74781.10708
1.02,-1701.76248,74041.13576
1.03,-1694.161952,73314.79946
1.04,-1686.677784,72602.71279
1.05,-1679.301288,71903.96067
1.06,-1672.04148,71219.1546
1.07,-1664.8808,70546.63994
1.08,-1657.819392,69886.28809
1.09,-1650.866272,69238.7165
1.1,-1644.003844,68602.308
1.11,-1637.614309,67978.05126
1.12,-1630.578244,67364.73168
1.13,-1623.997584,66761.86048
1.14,-1617.517044,66170.42984
1.15,-1611.118976,65588.87412
1.16,-1604.8035,65017.0972
1.17,-1598.57964,64455.7223
1.18,-1592.429712,63903.21633
1.19,-1586.362736,63360.20805
1.2,-1580.378832,62826.60613
1.21,-1574.4692,62301.6144
1.22,-1568.633948,61785.15274
1.23,-1562.873184,61277.14197
1.24,-1557.187016,60777.50391
1.25,-1551.575552,60286.16134
1.26,-1546.02996,59802.34626
1.27,-1540.550336,59325.99168
1.28,-1535.136776,58857.03135
1.29,-1529.789376,58395.3998
1.3,-1524.508232,57941.03233
1.31,-1519.29344,57493.86499
1.32,-1514.136132,57053.15898
1.33,-1508.704337,56619.20062
1.34,-1504.003276,56191.58328
1.35,-1499.027904,55770.60096
1.36,-1493.773107,55355.53152
1.37,-1488.914703,54946.9805
1.38,-1484.105295,54543.90609
1.39,-1479.353945,54146.92265
1.4,-1474.651743,53755.32378
1.41,-1470.007759,53369.72004
1.42,-1465.413075,52989.41081
1.43,-1460.867763,52614.35412
1.44,-1456.371895,52244.50841
1.45,-1451.598888,51879.51493
1.46,-1447.20324,51519.96942
1.47,-1443.172653,51165.1884
1.48,-1438.866251,50815.14438
1.49,-1434.287388,50469.80118
1.5,-1430.072688,50129.11398
1.51,-1425.587785,49793.05637
1.52,-1421.77504,49461.26515
1.53,-1417.69222,49134.03581
1.54,-1413.650472,48811.01695
1.55,-1409.333875,48491.8707
1.56,-1405.375461,48177.18126
1.57,-1401.458289,47866.61032
1.58,-1397.573357,47559.51092
1.59,-1393.729779,47256.47414
1.6,-1389.927615,46957.47045
1.61,-1385.856864,46662.16964
1.62,-1382.429613,46370.22748
1.63,-1378.4348,46082.2464
